,Material_ID,C,Mn,Si,Cr,Ni,Mo,V,N,Nb,Co,W,Al,Ti,Heat treatment/C,YS/MPa,UTS/MPa,Elong/%
486,487,0.01,0.01,0.01,7.74,11.91,0.98,0.01,0.0,0.01,9.95,0.0,0.27,0.71,900,1570.9,1639.8,
487,488,0.01,0.01,0.01,7.74,11.91,0.98,0.01,0.0,0.01,9.95,0.0,0.27,0.71,900,1564.0,1632.9,
488,489,0.01,0.01,0.01,7.74,11.91,0.98,0.01,0.0,0.01,9.95,0.0,0.27,0.71,900,1832.7,1915.4,
491,492,0.01,0.01,0.01,7.74,11.91,0.98,0.01,0.0,0.01,9.95,0.0,0.27,0.71,900,1812.1,1901.6,
492,493,0.01,0.01,0.01,8.14,11.95,0.02,0.01,0.0,0.01,10.48,0.0,0.39,1.11,900,1743.2,1791.4,
493,494,0.01,0.01,0.01,8.14,11.95,0.02,0.01,0.0,0.01,10.48,0.0,0.39,1.11,900,1743.2,1791.4,
494,495,0.01,0.01,0.01,8.14,11.95,0.02,0.01,0.0,0.01,10.48,0.0,0.39,1.11,900,1867.2,1922.3,
495,496,0.01,0.01,0.01,8.14,11.95,0.02,0.01,0.0,0.01,10.48,0.0,0.39,1.11,900,1750.1,1805.2,
496,497,0.01,0.01,0.01,8.14,11.95,0.02,0.01,0.0,0.01,10.48,0.0,0.39,1.11,900,,1763.8,
497,498,0.01,0.01,0.01,8.14,11.95,0.02,0.01,0.0,0.01,10.48,0.0,0.39,1.11,900,1874.1,1936.1,
498,499,0.01,0.01,0.01,8.14,11.95,0.02,0.01,0.0,0.01,10.48,0.0,0.39,1.11,900,1750.1,1812.1,
499,500,0.01,0.01,0.01,8.14,11.95,0.02,0.01,0.0,0.01,10.48,0.0,0.39,1.11,900,1743.2,1805.2,
501,502,0.01,0.01,0.01,8.14,11.95,0.02,0.01,0.0,0.01,10.48,0.0,0.39,1.11,900,1743.2,1825.9,
502,503,0.0,0.01,0.01,8.67,13.45,0.82,0.01,0.0,0.01,13.9,0.0,0.39,0.57,900,,1757.0,
503,504,0.0,0.01,0.01,8.67,13.45,0.82,0.01,0.0,0.01,13.9,0.0,0.39,0.57,900,1784.5,1929.2,
504,505,0.0,0.01,0.01,8.67,13.45,0.82,0.01,0.0,0.01,13.9,0.0,0.39,0.57,900,1763.8,1929.2,
505,506,0.01,0.01,0.01,8.84,10.81,1.19,0.41,0.0,0.01,9.24,0.0,0.43,0.57,900,1674.3,1729.4,
506,507,0.01,0.01,0.01,8.84,10.81,1.19,0.41,0.0,0.01,9.24,0.0,0.43,0.57,900,1846.5,1915.4,
509,510,0.23,0.01,0.02,3.12,11.03,1.2,0.01,0.0,0.01,13.45,0.0,0.01,0.01,885,1830.0,2029.1,15.1
510,511,0.23,0.01,0.02,3.12,11.03,1.2,0.01,0.0,0.01,13.45,0.0,0.01,0.01,885,1805.9,2015.3,13.7
511,512,0.21,0.01,0.01,3.11,11.11,1.19,0.01,0.0,0.01,13.48,0.0,0.01,0.01,885,1796.2,1992.6,13.3
513,514,0.21,0.01,0.01,3.11,11.11,1.19,0.01,0.0,0.01,13.48,0.0,0.01,0.01,885,1794.8,1991.2,13.4
514,515,0.24,0.01,0.01,3.12,11.06,1.19,0.01,0.0,0.01,13.46,0.0,0.01,0.01,885,,2014.6,15.4
515,516,0.23,0.01,0.01,3.11,11.26,1.19,0.01,0.0,0.01,13.48,0.0,0.01,0.01,885,,1951.2,15.3
516,517,0.21,0.01,0.01,3.1,11.18,1.19,0.01,0.0,0.01,13.52,0.0,0.01,0.01,885,1792.1,1993.3,15.3
517,518,0.24,0.01,0.01,3.12,11.06,1.19,0.01,0.0,0.01,13.46,0.0,0.01,0.01,885,1805.9,2007.1,16.4
519,520,0.23,0.01,0.01,3.11,11.26,1.19,0.01,0.0,0.01,13.48,0.0,0.01,0.01,885,1781.1,1958.1,15.9
521,522,0.23,0.01,0.01,3.1,11.08,1.19,0.01,0.0,0.01,13.49,0.0,0.01,0.01,885,1722.5,1916.8,15.7
523,524,0.23,0.01,0.01,3.11,11.16,1.18,0.01,0.0,0.01,13.46,0.0,0.01,0.01,885,1760.4,1949.9,13.3
524,525,0.23,0.01,0.01,3.11,11.16,1.18,0.01,0.0,0.01,13.46,0.0,0.01,0.01,885,1732.8,1941.6,16.3
525,526,0.01,0.01,0.01,0.01,18.1,1.0,0.01,0.0,0.01,0.01,0.0,0.08,1.8,816,1738.0,1841.0,9.0
526,527,0.01,0.01,0.01,0.01,17.1,2.0,0.01,0.0,0.01,0.01,0.0,0.07,1.82,816,1875.0,1972.0,10.0
528,529,0.03,0.01,0.01,0.01,18.1,2.2,0.01,0.0,0.01,0.01,0.0,0.11,2.5,816,,2130.0,5.0
529,530,0.02,0.01,0.01,0.01,17.8,0.64,0.01,0.0,0.01,0.01,0.0,0.08,2.03,816,1731.0,1855.0,10.0
530,531,0.01,0.01,0.01,0.01,17.4,1.44,0.01,0.0,0.01,0.01,0.0,0.08,1.9,816,1393.0,1641.0,12.0
531,532,0.0,0.01,0.01,0.01,18.1,3.1,0.01,0.0,0.01,0.01,0.0,0.05,1.4,816,1717.0,1772.0,13.0
532,533,0.02,0.01,0.01,0.01,17.9,3.1,0.9,0.0,0.01,0.01,0.0,0.07,1.4,816,1731.0,1820.0,10.0
533,534,0.02,0.01,0.01,0.01,17.5,0.02,1.9,0.0,0.01,0.01,0.0,0.09,2.06,816,1731.0,1944.0,6.0
534,535,0.03,0.01,0.01,0.01,17.3,0.02,1.8,0.0,2.5,0.01,0.0,0.1,1.07,816,1731.0,1772.0,8.0
535,536,0.02,0.01,0.01,0.01,15.3,1.4,0.01,0.0,0.01,0.01,0.0,0.12,2.1,816,1793.0,1917.0,4.0
536,537,0.02,0.01,0.01,0.01,17.9,0.3,0.01,0.0,0.01,0.01,0.0,0.1,1.95,816,1675.0,1779.0,9.0
537,538,0.02,0.01,0.01,0.01,15.7,2.0,0.01,0.0,0.01,0.01,0.0,0.1,1.98,816,1724.0,1848.0,10.0
538,539,0.01,0.01,0.01,0.01,21.0,2.1,0.01,0.0,0.01,0.01,0.0,0.13,1.9,816,1662.0,1889.0,6.0
540,541,0.03,0.01,0.01,0.01,18.3,5.1,0.01,0.0,0.01,6.7,0.0,0.11,0.7,816,1109.3,1281.5,18.0
541,542,0.04,0.01,0.01,0.01,18.8,6.0,0.01,0.0,0.01,8.0,0.0,0.16,0.42,816,1012.8,1198.9,6.0
542,543,0.03,0.01,0.01,0.01,18.4,4.9,0.01,0.0,0.01,7.0,0.0,0.15,1.77,816,1233.3,,24.0
543,544,0.02,0.01,0.01,0.01,18.6,5.1,0.01,0.0,0.01,6.7,0.0,0.12,0.89,816,1088.6,1226.4,21.0
544,545,0.02,0.01,0.01,0.01,18.1,4.8,0.01,0.0,0.3,6.8,0.0,0.09,0.41,816,1005.9,1109.3,
545,546,0.02,0.01,0.01,5.0,11.1,4.8,0.01,0.0,0.01,6.2,0.0,0.09,0.82,982,1047.3,1178.2,18.0
547,548,0.01,0.01,0.01,5.0,11.2,5.0,0.01,0.0,0.01,6.2,0.0,0.09,1.81,816,1164.4,1288.4,33.0
548,549,0.02,0.01,0.01,5.1,11.2,5.1,0.01,0.0,0.01,6.2,0.0,0.71,0.94,982,1074.8,1226.4,21.0
550,551,0.01,0.01,0.01,5.1,11.2,5.1,0.94,0.0,0.01,6.3,0.0,0.09,0.78,816,1033.5,1150.6,27.0
552,553,0.02,0.01,0.01,5.1,11.2,5.1,0.49,0.0,0.01,6.3,0.0,0.41,0.74,816,1116.2,1205.8,26.0
553,554,0.02,0.01,0.01,5.1,11.2,5.1,0.49,0.0,0.01,6.3,0.0,0.41,0.74,982,1157.5,1295.3,19.0
555,556,0.01,0.01,0.01,0.01,17.0,4.8,0.34,0.0,0.01,8.7,0.0,0.39,0.67,1066,1302.2,1412.5,20.0
557,558,0.01,0.01,0.01,0.01,17.0,4.8,0.34,0.0,0.01,8.7,0.0,0.39,0.67,899,1302.2,1453.8,21.0
558,559,0.01,0.01,0.01,0.01,17.0,4.8,0.34,0.0,0.01,8.7,0.0,0.39,0.67,982,1281.5,1433.1,20.0
559,560,0.01,0.01,0.01,0.01,17.0,4.8,0.34,0.0,0.01,8.7,0.0,0.39,0.67,982,1281.5,1433.1,20.0
560,561,0.01,0.01,0.01,0.01,17.0,4.8,0.34,0.0,0.01,8.7,0.0,0.39,0.67,816,,1405.6,18.0
561,562,0.01,0.01,0.01,0.01,18.5,4.8,0.43,0.0,0.01,8.7,0.0,0.95,0.72,982,1288.4,1453.8,20.0
562,563,0.01,0.01,0.01,0.01,18.5,4.7,0.01,0.0,0.01,8.8,0.0,1.02,0.71,982,1309.1,1495.1,19.0
563,564,0.02,0.01,0.01,0.01,14.9,4.8,0.26,0.0,0.01,8.7,0.0,0.36,0.71,982,1164.4,1260.9,24.0
564,565,0.02,0.01,0.01,0.01,13.0,5.0,0.47,0.0,0.01,8.9,0.0,0.2,0.71,982,1061.1,1198.9,
566,567,0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7,982,1936.1,2067.0,6.0
567,568,0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7,982,1729.4,1874.1,8.0
569,570,0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7,982,1281.5,1398.7,16.0
570,571,0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7,982,1281.5,1398.7,16.0
571,572,0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7,982,1281.5,1398.7,16.0
572,573,0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7,982,1281.5,1398.7,16.0
573,574,0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7,982,1281.5,1398.7,16.0
574,575,0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7,982,1281.5,1398.7,16.0
575,576,0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7,982,1281.5,,
576,577,0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7,982,1281.5,1398.7,16.0
577,578,0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7,982,1281.5,1398.7,16.0
579,580,0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7,982,1281.5,1398.7,16.0
580,581,0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7,982,1502.0,1660.5,10.0
581,582,0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7,982,,1591.6,12.0
582,583,0.04,0.01,0.01,0.01,15.0,5.0,0.01,0.0,0.2,8.8,0.0,0.5,0.24,982,1019.7,1157.5,15.0
583,584,0.03,0.01,0.01,0.01,15.0,5.0,0.01,0.0,0.2,8.8,0.0,0.98,0.26,982,1026.6,1164.4,35.0
585,586,0.1,0.5,0.3,12.0,2.0,0.02,0.01,0.0,0.01,5.0,6.0,0.03,0.0,1050,1269.0,1483.0,14.5
586,587,0.1,0.5,0.3,12.0,2.0,0.02,0.01,0.0,0.01,5.0,6.0,0.03,0.0,1050,1232.0,1490.7,15.5
587,588,0.1,0.5,0.3,12.0,2.0,0.02,0.01,0.0,0.01,5.0,6.0,0.03,0.0,1050,1342.9,1661.7,18.0
589,590,0.1,0.53,0.26,12.32,0.01,0.02,0.01,0.03,0.01,9.75,6.0,0.03,0.0,1050,1232.0,1566.2,14.7
590,591,0.1,0.62,0.37,12.19,0.01,6.15,0.01,0.03,0.01,10.2,0.0,0.03,0.0,1050,1258.2,1650.9,12.0
591,592,0.1,0.62,0.37,12.2,0.01,6.15,0.01,0.03,0.01,10.2,0.0,0.03,0.0,1050,1258.2,1650.9,12.0
592,593,0.1,0.5,0.3,12.0,2.0,0.02,0.01,0.0,0.01,5.0,6.0,0.03,0.0,1050,1099.6,1444.5,14.5
593,594,0.11,0.58,0.22,11.89,0.01,3.88,0.01,0.02,0.01,10.2,0.0,0.03,0.0,1050,1096.5,1492.3,14.5
596,597,0.09,0.63,0.37,12.3,0.01,3.97,0.01,0.04,0.01,15.2,0.0,0.03,0.0,1050,1131.9,1595.4,13.4
597,598,0.1,0.57,0.24,12.19,0.01,8.9,0.01,0.02,0.01,15.2,0.0,0.03,0.0,1050,1228.9,1795.6,2.0
598,599,0.04,0.55,0.27,12.29,0.01,5.85,0.01,0.03,0.01,15.0,0.0,0.03,0.0,1050,1287.4,1891.1,11.0
599,600,0.09,0.66,0.27,12.28,0.01,0.02,0.01,0.03,0.01,14.8,8.0,0.03,0.0,1050,1081.1,1678.6,5.8
600,601,0.1,0.51,0.32,12.0,0.01,6.3,0.01,0.04,0.01,14.6,0.0,0.03,0.0,1050,1155.0,1848.0,13.4
601,602,0.07,0.57,0.32,11.76,0.01,6.32,0.01,0.05,0.01,15.2,0.0,0.03,0.0,1050,1133.4,1931.2,13.4
602,603,0.11,0.68,0.25,11.9,2.38,1.76,0.33,0.02,0.01,0.01,0.0,0.03,0.0,1050,1021.0,1128.8,23.6
603,604,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,,1949.9,18.0
605,606,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,982,1508.9,1777.6,16.0
606,607,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,982,1481.4,1757.0,
607,608,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,982,1481.4,1763.8,16.0
608,609,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1038,1508.9,1819.0,10.0
609,610,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1038,1460.7,,
610,611,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1038,1446.9,1791.4,
611,612,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,982,1371.1,1708.7,14.0
612,613,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1038,1433.1,1791.4,11.0
613,614,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1378.0,1743.2,21.0
614,615,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1038,1350.4,1708.7,19.0
615,616,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1038,1288.4,1632.9,11.0
617,618,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1446.9,1846.5,20.0
618,619,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,982,1157.5,1481.4,11.0
620,621,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,982,1343.6,1722.5,
621,622,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1446.9,1860.3,
623,624,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1038,1433.1,1853.4,16.0
624,625,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,982,1267.8,1646.7,15.0
625,626,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1038,1254.0,1632.9,11.0
626,627,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1130.0,1474.5,15.0
627,628,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1371.1,1798.3,14.0
628,629,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1226.4,1619.2,15.0
630,631,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1605.4,2135.9,12.0
631,632,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,,1688.1,22.0
632,633,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1481.4,1998.1,
633,634,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,,1846.5,10.0
634,635,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1467.6,1991.2,13.0
637,638,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,982,1378.0,1894.8,13.0
639,640,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1038,1192.0,1667.4,10.0
640,641,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1412.5,1984.3,12.0
641,642,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1178.2,1777.6,22.0
642,643,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1038,1047.3,1619.2,11.0
643,644,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1240.2,1949.9,18.0
644,645,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1038,1005.9,1612.3,12.0
645,646,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1254.0,2053.2,12.0
646,647,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1178.2,1936.1,16.0
647,648,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1219.5,2025.7,16.0
648,649,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1584.7,,
649,650,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1093,1171.3,1956.8,16.0
652,653,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1038,1550.3,1853.4,7.0
653,654,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1038,1405.6,1736.3,10.0
654,655,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1038,1130.0,1626.0,6.0
656,657,0.01,0.01,0.03,7.93,10.02,0.2,0.0,0.01,0.0,8.14,2.29,0.2,0.49,900,1180.0,1250.0,12.0
657,658,0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0,825,1710.0,1750.0,12.0
659,660,0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0,870,1826.0,1920.0,4.32
660,661,0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0,960,1853.0,2009.0,6.03
661,662,0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0,825,1762.0,1855.0,8.2
662,663,0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0,870,1347.0,1514.0,
663,664,0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0,960,1390.0,1575.0,
664,665,0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0,825,1323.0,1462.0,
665,666,0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0,825,1327.0,1477.0,
666,667,0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0,825,1960.0,1995.0,2.0
667,668,0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0,825,1315.0,,
668,669,0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0,825,1928.0,2012.0,3.86
669,670,0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0,870,2027.0,2087.0,1.3
670,671,0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0,870,2099.0,2109.0,3.35
671,672,0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0,960,2102.0,2165.0,1.6
672,673,0.29,0.01,0.01,1.02,10.46,2.0,0.1,0.0,0.01,7.17,1.28,0.03,0.01,1026,1683.0,1990.0,14.0
673,674,0.01,0.01,0.01,10.12,7.01,5.48,0.01,0.0,0.01,10.05,0.0,0.03,0.0,927,1584.7,1692.9,13.4
674,675,0.01,0.01,0.01,10.12,7.01,5.48,0.01,0.0,0.01,10.05,0.0,0.03,0.0,927,,,13.2
675,676,0.01,0.01,0.01,10.12,7.01,5.48,0.01,0.0,0.01,10.05,0.0,0.03,0.0,927,1535.1,1745.9,14.1
676,677,0.01,0.01,0.01,10.12,7.01,5.48,0.01,0.0,0.01,10.05,0.0,0.03,0.0,927,1475.8,1720.4,14.7
677,678,0.0,0.01,0.01,10.09,6.98,5.48,0.01,0.01,0.01,10.96,0.0,0.03,0.0,927,1424.9,1690.1,13.4
678,679,0.0,0.01,0.01,10.09,6.98,5.48,0.01,0.01,0.01,10.96,0.0,0.03,0.0,927,1322.9,1590.2,9.3
680,681,0.01,0.01,0.01,10.12,7.01,5.48,0.01,0.0,0.01,10.05,0.0,0.03,0.0,927,1322.9,1626.0,15.5
681,682,0.32,0.23,0.01,6.61,0.01,5.75,0.92,0.0,0.01,4.9,0.0,0.03,0.0,1149,1681.2,1984.3,8.0
682,683,0.39,0.22,0.01,6.99,0.01,5.75,1.08,0.0,0.01,4.9,0.0,0.03,0.0,1149,1688.1,1998.1,8.0
683,684,0.43,0.21,0.01,7.14,0.01,5.62,1.02,0.0,0.01,4.99,0.0,0.03,0.0,1149,1736.3,2039.4,6.0
684,685,0.36,0.22,0.01,6.75,0.01,5.75,0.96,0.0,0.01,9.46,0.0,0.03,0.0,1149,1846.5,2177.2,6.0
685,686,0.35,0.23,0.01,7.15,0.01,5.78,1.02,0.0,0.01,4.9,1.54,0.03,0.0,1149,1688.1,,
686,687,0.36,0.23,0.01,6.55,0.01,5.75,0.86,0.0,0.41,5.1,0.0,0.03,0.0,1149,1653.6,1963.7,6.0
688,689,0.37,0.23,0.01,7.19,0.01,5.71,1.1,0.0,0.78,4.99,0.0,0.03,0.0,1149,1012.8,1295.3,12.0
691,692,0.38,0.18,0.01,7.27,0.01,3.77,0.96,0.0,0.01,4.9,0.0,0.03,0.0,1149,1722.5,1998.1,5.0
693,694,0.38,0.18,0.01,7.43,0.01,9.67,0.96,0.0,0.01,4.91,0.0,0.03,0.0,1149,1577.8,1943.0,3.0
696,697,0.37,0.17,0.01,5.2,0.01,5.84,1.05,0.0,0.91,4.88,0.0,0.03,0.0,1149,1860.3,2156.6,3.0
697,698,0.4,0.18,0.01,9.69,0.01,5.84,0.96,0.0,0.01,4.87,0.0,0.03,0.0,1149,1798.3,2135.9,6.0
698,699,0.4,0.16,0.01,12.14,0.01,5.84,0.96,0.0,0.01,4.92,0.0,0.03,0.0,1149,1667.4,2122.1,4.0
699,700,0.36,0.17,0.01,7.11,0.01,0.25,1.08,0.0,0.01,5.03,9.18,0.03,0.0,1149,1681.2,2032.6,2.0
700,701,0.01,0.01,0.01,0.01,14.8,2.5,0.01,0.0,0.01,15.0,0.0,0.03,1.8,815,,2068.4,8.0
701,702,0.01,0.01,0.01,0.01,15.0,6.02,0.01,0.0,0.01,14.8,0.0,0.03,0.62,815,1908.5,2023.6,6.0
702,703,0.01,0.01,0.01,0.01,14.9,3.15,0.01,0.0,0.01,15.3,0.0,0.03,0.7,815,1750.1,1812.8,5.0
704,705,0.01,0.01,0.01,0.01,14.6,3.1,0.01,0.0,0.01,15.4,0.0,0.03,0.12,815,1506.8,1541.3,14.0
705,706,0.02,0.01,0.01,0.01,14.7,0.02,0.01,0.0,0.01,15.5,0.0,0.03,0.43,815,1106.5,1134.1,18.0
706,707,0.02,0.01,0.01,0.01,14.7,0.02,0.01,0.0,0.01,15.5,0.0,0.03,0.43,815,1183.0,1218.2,15.0
707,708,0.02,0.01,0.01,0.01,14.5,0.92,0.01,0.0,0.01,15.4,0.0,0.03,0.41,815,1039.0,1066.6,14.0
708,709,0.02,0.01,0.01,0.01,14.5,0.92,0.01,0.0,0.01,15.4,0.0,0.03,0.41,815,1285.7,1320.1,15.0
709,710,0.02,0.01,0.01,0.01,14.5,0.92,0.01,0.0,0.01,15.4,0.0,0.03,0.41,815,1300.8,1351.1,14.0
710,711,0.02,0.01,0.01,0.01,14.5,0.92,0.01,0.0,0.01,15.4,0.0,0.03,0.41,815,1222.3,1351.1,16.0
711,712,0.01,0.01,0.01,0.01,14.8,2.5,0.01,0.0,0.01,15.0,0.0,0.03,1.8,815,1777.6,1866.5,8.0
712,713,0.01,0.01,0.01,0.01,14.8,2.5,0.01,0.0,0.01,15.0,0.0,0.03,1.8,815,1574.4,1684.6,10.0
713,714,0.01,0.01,0.01,0.01,14.8,2.5,0.01,0.0,0.01,15.0,0.0,0.03,1.8,815,,,11.0
714,715,0.01,0.01,0.01,0.01,14.8,2.5,0.01,0.0,0.01,15.0,0.0,0.03,1.8,815,,1333.9,16.0
715,716,0.01,0.01,0.01,0.01,14.6,3.1,0.01,0.0,0.01,15.4,0.0,0.03,0.12,815,1368.4,1424.2,
716,717,0.01,0.01,0.01,0.01,14.6,3.1,0.01,0.0,0.01,15.4,0.0,0.03,0.12,815,1169.2,1258.1,16.0
717,718,0.01,0.01,0.01,0.01,14.6,3.1,0.01,0.0,0.01,15.4,0.0,0.03,0.12,815,1023.9,1102.4,17.0
718,719,0.01,0.01,0.01,0.01,14.9,3.15,0.01,0.0,0.01,15.3,0.0,0.03,0.7,815,1772.8,1800.4,11.0
719,720,0.01,0.01,0.01,0.01,14.9,3.15,0.01,0.0,0.01,15.3,0.0,0.03,0.7,815,1670.8,1719.1,11.0
720,721,0.01,0.01,0.01,0.01,14.9,3.15,0.01,0.0,0.01,15.3,0.0,0.03,0.7,815,1626.7,1691.5,13.0
721,722,0.01,0.01,0.01,0.01,14.9,3.15,0.01,0.0,0.01,15.3,0.0,0.03,0.7,815,1526.1,1610.2,14.0
722,723,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,15.3,0.0,0.03,0.2,815,1867.2,1927.1,11.0
723,724,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,15.3,0.0,0.03,0.2,815,2043.6,2112.5,9.0
